Чек_товар;Номер чека;Номер позиции ;Товар;Магазин;День;Месяц;Оборот с НДС;Штуки;NETVAL_INV;TAX_AMOUNT;Подсчет чеков
900421200 105279571         ;900421200 ;1;105279571         ;M003;20210101;202101;112;4;93,33;18,67;1
900421200 106729705         ;900421200 ;2;106729705         ;M003;20210101;202101;1424;2;1186,67;237,33;2
900434234 1000044348        ;900434234 ;1;1000044348        ;M003;20210101;202101;1491;3;1242,50;248,50;1
900434234 1000044354        ;900434234 ;2;1000044354        ;M003;20210101;202101;24;1;20,00;4,00;2
900434234 1000044492        ;900434234 ;3;1000044492        ;M003;20210101;202101;48;1;40,00;8,00;3
900443454 646               ;900443454 ;1;646               ;M003;20210101;202101;470;1;427,27;42,73;1
900443454 16951             ;900443454 ;2;16951             ;M003;20210101;202101;26;1;21,67;4,33;2
900443454 19719             ;900443454 ;3;19719             ;M003;20210101;202101;49;1;40,83;8,17;3
900443454 19758             ;900443454 ;4;19758             ;M003;20210101;202101;519;1;432,50;86,50;4
900443454 20776             ;900443454 ;5;20776             ;M003;20210101;202101;11;1;9,17;1,83;5
900443454 32204             ;900443454 ;6;32204             ;M003;20210101;202101;72;1;65,45;6,55;6
900443454 35687             ;900443454 ;7;35687             ;M003;20210101;202101;92;4;76,67;15,33;7
900443454 40580             ;900443454 ;8;40580             ;M003;20210101;202101;64;1;53,33;10,67;8
900443454 53258             ;900443454 ;9;53258             ;M003;20210101;202101;164;1;149,09;14,91;9
900443454 55239             ;900443454 ;10;55239             ;M003;20210101;202101;4943;1;4119,17;823,83;10
900443454 55255             ;900443454 ;11;55255             ;M003;20210101;202101;79;1;65,83;13,17;11
900443454 55414             ;900443454 ;12;55414             ;M003;20210101;202101;23;1;19,17;3,83;12
900443454 55417             ;900443454 ;13;55417             ;M003;20210101;202101;985;1;820,83;164,17;13
900443454 55445             ;900443454 ;14;55445             ;M003;20210101;202101;180;3;163,64;16,36;14
900443454 55482             ;900443454 ;15;55482             ;M003;20210101;202101;468;1;390,00;78,00;15
900443454 55571             ;900443454 ;16;55571             ;M003;20210101;202101;104;2;94,55;9,45;16
900443454 55617             ;900443454 ;17;55617             ;M003;20210101;202101;19;1;15,83;3,17;17
900443454 63127             ;900443454 ;18;63127             ;M003;20210101;202101;87;1;79,09;7,91;18
900443454 70245             ;900443454 ;19;70245             ;M003;20210101;202101;316;1;263,33;52,67;19
900443454 73203             ;900443454 ;20;73203             ;M003;20210101;202101;52;1;43,33;8,67;20
900463131 1000008679        ;900463131 ;1;1000008679        ;M006;20210101;202101;20;1;18,18;1,82;1
900463131 1000008745        ;900463131 ;2;1000008745        ;M006;20210101;202101;270;1;225,00;45,00;2
900463131 1000008767        ;900463131 ;3;1000008767        ;M006;20210101;202101;27;1;22,50;4,50;3
900463131 1000008790        ;900463131 ;4;1000008790        ;M006;20210101;202101;18;2;16,36;1,64;4
900463131 1000009324        ;900463131 ;5;1000009324        ;M006;20210101;202101;68;1;56,67;11,33;5
900498502 893138            ;900498502 ;1;893138            ;M005;20210101;202101;88;1;73,33;14,67;1
900498502 7000009745        ;900498502 ;2;7000009745        ;M005;20210101;202101;97;1;80,83;16,17;2
900424526 1000018963        ;900424526 ;1;1000018963        ;M012;20210102;202101;402;1;335,00;67,00;1
900424526 1000018964        ;900424526 ;2;1000018964        ;M012;20210102;202101;34;1;30,91;3,09;2
900424526 1000019032        ;900424526 ;3;1000019032        ;M012;20210102;202101;801;3;667,50;133,50;3
900424526 1000019047        ;900424526 ;4;1000019047        ;M012;20210102;202101;84;1;70,00;14,00;4
900424526 1000019048        ;900424526 ;5;1000019048        ;M012;20210102;202101;1500;1;1363,64;136,36;5
900428875 106773781         ;900428875 ;1;106773781         ;M005;20210102;202101;346;1;288,33;57,67;1
900437572 1000036827        ;900437572 ;1;1000036827        ;M003;20210102;202101;231;1;210,00;21,00;1
900437572 1000036828        ;900437572 ;2;1000036828        ;M003;20210102;202101;2;1;1,67;0,33;2
900469404 108126086         ;900469404 ;1;108126086         ;M012;20210102;202101;17;1;14,17;2,83;1
900469404 108184139         ;900469404 ;2;108184139         ;M012;20210102;202101;48;1;40,00;8,00;2
900469404 1000004353        ;900469404 ;3;1000004353        ;M012;20210102;202101;495;3;412,50;82,50;3
900486004 662670            ;900486004 ;1;662670            ;M006;20210102;202101;1569;3;1426,36;142,64;1
900486004 817851            ;900486004 ;2;817851            ;M006;20210102;202101;20;1;16,67;3,33;2
900489833 2027702003        ;900489833 ;1;2027702003        ;M009;20210102;202101;222;3;185,00;37,00;1
900489833 2027726001        ;900489833 ;2;2027726001        ;M009;20210102;202101;339;1;282,50;56,50;2
900489833 2027728004        ;900489833 ;3;2027728004        ;M009;20210102;202101;228;3;207,27;20,73;3
900489833 2027751005        ;900489833 ;4;2027751005        ;M009;20210102;202101;157;1;142,73;14,27;4
900489833 2027763004        ;900489833 ;5;2027763004        ;M009;20210102;202101;414;1;345,00;69,00;5
900489833 2027768002        ;900489833 ;6;2027768002        ;M009;20210102;202101;26;1;21,67;4,33;6
900495077 1000047028        ;900495077 ;1;1000047028        ;M012;20210102;202101;36;1;30,00;6,00;1
900495077 1000047033        ;900495077 ;2;1000047033        ;M012;20210102;202101;316;1;263,33;52,67;2
900542005 646               ;900542005 ;1;646               ;M005;20210102;202101;470;1;427,27;42,73;1
900542005 16951             ;900542005 ;2;16951             ;M005;20210102;202101;26;1;21,67;4,33;2
900542005 19372             ;900542005 ;3;19372             ;M005;20210102;202101;353;1;320,91;32,09;3
900542005 19380             ;900542005 ;4;19380             ;M005;20210102;202101;62;1;51,67;10,33;4
900542005 19657             ;900542005 ;5;19657             ;M005;20210102;202101;923;1;769,17;153,83;5
900642637 146784            ;900642637 ;1;146784            ;M010;20210102;202101;2;1;1,67;0,33;1
900429722 105279571         ;900429722 ;1;105279571         ;M004;20210103;202101;28;1;23,33;4,67;1
900429722 106489772         ;900429722 ;2;106489772         ;M004;20210103;202101;544;1;453,33;90,67;2
900429722 107439970         ;900429722 ;3;107439970         ;M004;20210103;202101;76;1;63,33;12,67;3
900429722 1000020917        ;900429722 ;4;1000020917        ;M004;20210103;202101;760;2;633,33;126,67;4
900429722 1000030149        ;900429722 ;5;1000030149        ;M004;20210103;202101;98;2;81,67;16,33;5
900429722 1000034686        ;900429722 ;6;1000034686        ;M004;20210103;202101;87;1;72,50;14,50;6
900429722 1000043792        ;900429722 ;7;1000043792        ;M004;20210103;202101;8668;2;7223,33;1444,67;7
900429722 1000045848        ;900429722 ;8;1000045848        ;M004;20210103;202101;40;1;33,33;6,67;8
900429722 1000046345        ;900429722 ;9;1000046345        ;M004;20210103;202101;809;1;674,17;134,83;9
